OIB osobe;Ime;Prezime;Spol;Datum rođenja;OIB majke;Ime majke;Prezime majke;Rođeno prezime majke;OIB oca;Ime oca;Prezime oca;Rođeno prezime oca
10000000093;Tatjana;Franjić;Ž;6.3.1981;10000000101;Marica;Franjić;Petrović;10000000102;Dario;Franjić;Franjić
10000000094;Mila;Novak;Ž;13.8.2000;10000000107;Jelena;Novak;Horvat;10000000108;Mirko;Novak;Novak
10000000095;Stela;Novak;Ž;30.10.2002;10000000107;Jelena;Novak;Horvat;10000000108;Mirko;Novak;Novak
10000000096;Ema;Novak;Ž;22.12.2003;10000000107;Jelena;Novak;Horvat;10000000108;Mirko;Novak;Novak
10000000097;Barbara;Petrović;Ž;5.4.1926;;;;;;;;
10000000098;Josip;Petrović;M;10.9.1923;;;;;;;;
10000000099;Kata;Franjić;Ž;17.12.1928;;;;;;;;
10000000100;Franjo;Franjić;M;1.7.1924;;;;;;;;
10000000101;Marica;Franjić;Ž;13.5.1950;10000000097;Barbara;Petrović;Radić;10000000098;Josip;Petrović;Petrović
10000000102;Dario;Franjić;M;4.1.1949;10000000099;Kata;Franjić;Franjić;10000000100;Franjo;Franjić;Franjić
10000000103;Nina;Horvat;Ž;12.3.1927;;;;;;;;
10000000104;Milan;Horvat;M;16.10.1925;;;;;;;;
10000000105;Ruža;Novak;Ž;25.8.1929;;;;;;;;
10000000106;Zvonko;Novak;M;13.11.1926;;;;;;;;
10000000107;Jelena;Novak;Ž;7.7.1952;10000000103;Nina;Horvat;Tomić;10000000104;Milan;Horvat;Horvat
10000000108;Mirko;Novak;M;23.4.1950;10000000105;Ruža;Novak;Novak;10000000106;Zvonko;Novak;Novak
10000000109;Janko;Horvat;M;8.2.1981;10000000029;Marica;Horvat;Novak;10000000030;Stjepan;Horvat;Horvat
10000000110;Marin;Franjić;M;6.3.1981;10000000101;Marica;Franjić;Petrović;10000000102;Dario;Franjić;Franjić
10000000111;Ranko;Petrović;M;10.7.1950;10000000001;Ana;Petrović;Petrović;10000000002;Ivan;Petrović;Petrović
10000000112;Branko;Franjić;M;2.1.1945;10000000003;Ivka;Kovač;Horvat;10000000100;Franjo;Franjić;Franjić
